Notebook Name,Category,Function,Uses Default Parameters?,Custom Parameters,All Parameters,Other Parameters
spaceship-titanic-tensorflow-80.ipynb,Feature Selection,drop,No,"columns=['PassengerId', 'Name'], axis=1, inplace=True",,"ds.drop(columns=[""PassengerId"", ""Name""], axis=1, inplace=True)"
spaceship-titanic-tensorflow-80.ipynb,Feature Selection,drop,No,"columns=['PassengerId', 'Name'], axis=1, inplace=True",,"ts.drop(columns=[""PassengerId"", ""Name""], axis=1, inplace=True)"
spaceship-titanic-tensorflow-80.ipynb,Feature Selection,dropna,No,inplace=True,,spe.dropna(inplace=True)
spaceship-titanic-tensorflow-80.ipynb,Feature Engineering,LabelEncoder,Yes,,,ds[col] = LabelEncoder().fit_transform(ds[col])
spaceship-titanic-tensorflow-80.ipynb,Feature Engineering,LabelEncoder,Yes,,,ts[col] = LabelEncoder().fit_transform(ts[col])
spaceship-titanic-tensorflow-80.ipynb,Feature Engineering,MinMaxScaler,Yes,,"feature_range=(0, 1), copy=True, clip=False","ds = pd.DataFrame(MinMaxScaler().fit_transform(ds), columns=ds.columns)"
spaceship-titanic-tensorflow-80.ipynb,Feature Engineering,MinMaxScaler,Yes,,"feature_range=(0, 1), copy=True, clip=False","ts = pd.DataFrame(MinMaxScaler().fit_transform(ts), columns=ts.columns)"
spaceship-titanic-tensorflow-80.ipynb,Feature Addition,Feature Addition,No,,,"ss[""Transported""] = yPred"
spaceship-titanic.ipynb,Feature Addition,Feature Addition,No,,,data['CryoSleep'] = data['CryoSleep'].map(lambda x: 1 if x else 0)
spaceship-titanic.ipynb,Feature Addition,Feature Addition,No,,,"data['Transported'] = data['Transported'].map({True: 1, False: 0})"
spaceship-titanic.ipynb,Feature Addition,Feature Addition,No,,,data['Age'] = data['Age'].astype(int)
spaceship-titanic.ipynb,Feature Addition,Feature Addition,No,,,data['Total_Cost'] = data['RoomService'] + data['FoodCourt'] + data['ShoppingMall'] + data['Spa'] + data['VRDeck']
spaceship-titanic.ipynb,Feature Engineering,LabelEncoder,Yes,,,le = LabelEncoder()
spaceship-titanic.ipynb,Feature Addition,Feature Addition,No,,,data['HomePlanet+Destination'] = data['HomePlanet'] + '_' + data['Destination']
spaceship-titanic.ipynb,Feature Addition,Feature Addition,No,,,data['HomePlanet+Destination_code'] = le.fit_transform(data['HomePlanet+Destination'])
spaceship-titanic.ipynb,Feature Engineering,LabelEncoder,Yes,,,le = LabelEncoder()
spaceship-titanic.ipynb,Feature Addition,Feature Addition,No,,,data['Desk'] = le.fit_transform(data['Desk'])
spaceship-titanic.ipynb,Feature Addition,Feature Addition,No,,,data['Side'] = le.fit_transform(data['Side'])
spaceship-titanic.ipynb,Feature Engineering,LabelEncoder,Yes,,,le = LabelEncoder()
spaceship-titanic.ipynb,Feature Engineering,LabelEncoder,Yes,,,le = LabelEncoder()
spaceship-titanic.ipynb,Feature Engineering,Feature Engineering,No,,,data['CryoSleep'] = data['CryoSleep'].map(lambda x: 1 if x else 0)
spaceship-titanic.ipynb,Feature Engineering,Feature Engineering,No,,,"data['Transported'] = data['Transported'].map({True: 1, False: 0})"
spaceship-titanic.ipynb,Feature Engineering,Feature Engineering,No,,,data['Age'] = data['Age'].astype(int)
spaceship-titanic.ipynb,Feature Addition,Feature Addition,No,,,"data['Surname'] = data['Name'].dropna().str.split(' ', expand = True)[1]"
spaceship-titanic.ipynb,Feature Engineering,Feature Engineering,No,,,data['Total_Cost'] = data['RoomService'] + data['FoodCourt'] + data['ShoppingMall'] + data['Spa'] + data['VRDeck']
spaceship-titanic.ipynb,Feature Engineering,Feature Engineering,No,,,data['HomePlanet+Destination'] = data['HomePlanet'] + '_' + data['Destination']
spaceship-titanic.ipynb,Feature Addition,Feature Addition,No,,,"data['Zero_Cost'] = np.where(data['Total_Cost'] == 0, 1, 0)"
spaceship-titanic.ipynb,Feature Engineering,Feature Engineering,No,,,data['HomePlanet+Destination_code'] = le.fit_transform(data['HomePlanet+Destination'])
spaceship-titanic.ipynb,Feature Engineering,Feature Engineering,No,,,data['Desk'] = le.fit_transform(data['Desk'])
spaceship-titanic.ipynb,Feature Engineering,Feature Engineering,No,,,data['Side'] = le.fit_transform(data['Side'])
spaceship-titanic.ipynb,Feature Addition,Feature Addition,No,,,data['Group_Size'] = data['Group_Num'].apply(lambda x: data['Group_Num'].value_counts()[x])
spaceship-titanic.ipynb,Feature Addition,Feature Addition,No,,,"data['Solo'] = np.where(data['Group_Size'] == 1, 1, 0)"
spaceship-titanic.ipynb,Feature Addition,Feature Addition,No,,,data['Num'] = data['Num'].astype(int)
spaceship-titanic.ipynb,Feature Engineering,Feature Engineering,No,,,data['Num'] = data['Num'].map(lambda x: np.nan if x == 9999 else x)
spaceship-titanic.ipynb,Feature Addition,Feature Addition,No,,,data['Num_code_1'] = (data['Num']<300).astype(int)   # one-hot encoding
spaceship-titanic.ipynb,Feature Addition,Feature Addition,No,,,data['Num_code_2'] =((data['Num']>=300) & (data['Num']<600)).astype(int)
spaceship-titanic.ipynb,Feature Addition,Feature Addition,No,,,data['Num_code_3'] =((data['Num']>=600) & (data['Num']<900)).astype(int)
spaceship-titanic.ipynb,Feature Addition,Feature Addition,No,,,data['Num_code_4'] =((data['Num']>=900) & (data['Num']<1200)).astype(int)
spaceship-titanic.ipynb,Feature Addition,Feature Addition,No,,,data['Num_code_5'] =((data['Num']>=1200) & (data['Num']<1500)).astype(int)
spaceship-titanic.ipynb,Feature Addition,Feature Addition,No,,,data['Num_code_6'] =((data['Num']>=1500) & (data['Num']<1800)).astype(int)
spaceship-titanic.ipynb,Feature Addition,Feature Addition,No,,,data['Num_code_7'] =(data['Num']>=1800).astype(int)
spaceship-titanic-with-randomforestclassifier.ipynb,Feature Engineering,SimpleImputer,No,strategy='median',"missing_values=nan, strategy=mean, fill_value=None, copy=True, add_indicator=False, keep_empty_features=False",imputer = SimpleImputer(strategy='median')
spaceship-titanic-with-randomforestclassifier.ipynb,Feature Engineering,get_dummies,No,columns=categorical_cols,,"train = pd.get_dummies(train, columns=categorical_cols)"
spaceship-titanic-with-randomforestclassifier.ipynb,Feature Addition,Feature Addition,No,,,"train['Total_Billed'] = train[['RoomService', 'FoodCourt', 'ShoppingMall', 'Spa', 'VRDeck']].sum(axis=1)"
spaceship-titanic-with-randomforestclassifier.ipynb,Feature Selection,drop,No,axis=1,,"X = train.drop(['PassengerId', 'Name', 'Cabin', 'Transported'], axis=1)"
spaceship-titanic-with-randomforestclassifier.ipynb,Feature Engineering,fillna,No,inplace=True,,"X.fillna(0, inplace=True)"
spaceship-titanic-with-randomforestclassifier.ipynb,Feature Engineering,get_dummies,No,columns=categorical_cols,,"test = pd.get_dummies(test, columns=categorical_cols)"
spaceship-titanic-with-randomforestclassifier.ipynb,Feature Engineering,Feature Engineering,No,,,"test['Total_Billed'] = test[['RoomService', 'FoodCourt', 'ShoppingMall', 'Spa', 'VRDeck']].sum(axis=1)"
spaceship-titanic-eda-predictions.ipynb,Feature Selection,drop,No,axis=1,,"df_train = df_train.drop('Name', axis=1)"
spaceship-titanic-eda-predictions.ipynb,Feature Selection,drop,No,axis=1,,"df_test = df_test.drop('Name', axis=1)"
